Hunderassen;Zuordnung;Faelle in denen Menschen schwer verletzt wurden;Faelle in denen Menschen leicht verletzt wurden;gefahrdrohendes Anspringen von Menschen;Faelle in denen ausschliesslich andere Hunde verletzt wurden
BÖSER TEST HUND;MONSTER;100;100;100;100
Pit Bull Terrier;Gefährliche Hunde (Rasseliste);2;2;;10
American Staffordshire Terrier;Gefährliche Hunde (Rasseliste);4;10;3;11
Bull Terrier;Gefährliche Hunde (Rasseliste);2;1;1;3
American Bully;Mischlinge gefährliche Hunde, mit Rassezuordnung;1;;1;2
Airedale Terrier;Sonstige Rassen;;;;1
Akita;Sonstige Rassen;;2;;7
Alano Espanol;Sonstige Rassen;;;;
Alano-Mix;Sonstige Rassen;;;;
Alaskan Malamute;Sonstige Rassen;;1;;
Altdeutscher Hütehund;Sonstige Rassen;;;;
American Bulldog;Sonstige Rassen;1;1;1;
American Cocker Spaniel;Sonstige Rassen;;1;;1
Australian Cattle Dog;Sonstige Rassen;;1;;
Australian Kelpie;Sonstige Rassen;;;;
Australian Shepherd;Sonstige Rassen;;10;;6
Barsoi;Sonstige Rassen;;;;
Basenji;Sonstige Rassen;;1;;
Basset;Sonstige Rassen;;;;
Bayerischer Gebirgsschweißhund;Sonstige Rassen;;;;
Beauceron;Sonstige Rassen;;;;
Beagle;Sonstige Rassen;;3;;
Bearded Collie;Sonstige Rassen;1;1;;2
Belgische Schäferhunde (Malinois, Tervueren, Groenendael, Laekenois);Sonstige Rassen;4;8;;7
Bernedoodle (Berner Sennenhund-Pudel-Mix);Sonstige Rassen;;;;
Bernhardiner;Sonstige Rassen;;;;1
Bichon;Sonstige Rassen;;;;
Bluthund;Sonstige Rassen;;;;
Bobtail (Old English Sheepdog);Sonstige Rassen;;;;
Bolonka Zwetna;Sonstige Rassen;;1;1;
Border Collie;Sonstige Rassen;1;8;1;3
Border Terrier;Sonstige Rassen;1;1;;
Boston Terrier;Sonstige Rassen;;;;
Bouvier des Flandres;Sonstige Rassen;;1;;
Boxer;Sonstige Rassen;2;2;;12
Boxer-Mix;Sonstige Rassen;;3;1;2
Bracken (verschiedener Herkunftsländer);Sonstige Rassen;;;;
Briard (Berger de Brie);Sonstige Rassen;;;;1
Briard-Schäferhund-Mix;Sonstige Rassen;;;;
Bullmastiff;Sonstige Rassen;;;;
Cairn Terrier;Sonstige Rassen;;1;;1
Cane Corso;Sonstige Rassen;1;3;2;7
Cane Corse-American Bulldog Mix;Sonstige Rassen;;;;
Catahoula Blueline (Hybridhund);Sonstige Rassen;;1;;
Cavalier King Charles Spaniel;Sonstige Rassen;;;;
Chesepeak Bay Retriever;Sonstige Rassen;;1;;
Chihuahua;Sonstige Rassen;;5;1;
Chow Chow;Sonstige Rassen;;1;;1
Cocker-Spaniel;Sonstige Rassen;;1;;1
Collie;Sonstige Rassen;;;;3
Collie-Husky-Mix;Sonstige Rassen;;;;
Corgi (Welsh Corgi Cardigan oder Pembroke);Sonstige Rassen;;;;
Corgi-Spitz-Mix;Sonstige Rassen;;;;
Dachshunde (Dackel);Sonstige Rassen;;5;;4
Dackel-Mix;Sonstige Rassen;;3;;
Dalmatiner;Sonstige Rassen;;;1;3
Deutsch Draht-, Kurz-, Lang- oder Stichelhaar;Sonstige Rassen;2;2;;
Deutsche Dogge;Sonstige Rassen;;2;;2
Deutscher Jagdterrier;Sonstige Rassen;;;;4
Deutscher Pinscher und Zwergpinscher;Sonstige Rassen;;2;1;1
Deutscher Schäferhund;Sonstige Rassen;2;20;10;15
Deutscher Wachtelhund (Jagdhund);Sonstige Rassen;;;;
Dobermann;Sonstige Rassen;;9;3;8
Dogo Argentino;Sonstige Rassen;2;;;1
Dogo Canario;Sonstige Rassen;;;;
Dogue de Bordeaux;Sonstige Rassen;2;3;;
Elo;Sonstige Rassen;;;;
Englische Bulldogge;Sonstige Rassen;;;;2
English Cocker Spaniel;Sonstige Rassen;;1;;
English Springer Spaniel;Sonstige Rassen;;;;
Epagneul Breton;Sonstige Rassen;;;;
Eurasier;Sonstige Rassen;;;;2
Fila Brasileiro;Sonstige Rassen;;;;
Flat Coated Retriever;Sonstige Rassen;;;;
Fox Terrier ;Sonstige Rassen;;;;
Französische Bulldogge;Sonstige Rassen;1;13;1;7
Galgo Espanol;Sonstige Rassen;;1;;
Galgo-Podenco-Mix;Sonstige Rassen;;2;;
Golden Doodle;Sonstige Rassen;;;;
Golden Doodle-Mix;Sonstige Rassen;;1;;1
Golden Retriever;Sonstige Rassen;;4;3;3
Greyhound;Sonstige Rassen;;;;
Griffon Nivernais;Sonstige Rassen;;;;
Großer und Kleiner Münsterländer;Sonstige Rassen;;1;;
Harzer Fuchs;Sonstige Rassen;;1;;1
Havaneser;Sonstige Rassen;;;;
Hollandse Herdershond;Sonstige Rassen;;;;
Hovawart;Sonstige Rassen;;1;;2
Husky;Sonstige Rassen;;5;3;1
Husky-Mix;Sonstige Rassen;;;;
Irischer Wolfshund;Sonstige Rassen;;;;
Irish Soft Coated Wheaten Terrier;Sonstige Rassen;;1;;1
Kangal;Sonstige Rassen;;;1;
Kaukasischer Schäferhund (Ovtcharka);Sonstige Rassen;1;;;
Kerry Blue Terrier;Sonstige Rassen;;;;1
Kooikerhondje (Nederlandse Kooikerhondje);Sonstige Rassen;;1;;
Korea Jindo Dog;Sonstige Rassen;;;;
Kromfohrländer;Sonstige Rassen;;;;
Kuvasz;Sonstige Rassen;;;;
Labrador Retriever;Sonstige Rassen;1;19;2;15
Labrador-Mix;Sonstige Rassen;;9;6;10
Labrador-Pointer-Mix;Sonstige Rassen;;;;
Labrador-Rhodesian Ridgeback-Mix;Sonstige Rassen;;;;
Labrador-Weimaraner-Mix (Labmaraner);Sonstige Rassen;;2;;
Labradoodle;Sonstige Rassen;;1;1;1
Lagotto Romagnolo (italienischer Wasserhund);Sonstige Rassen;;1;;1
Leonberger;Sonstige Rassen;;;;
Malteser;Sonstige Rassen;;2;;1
Maremmen-Abruzzen-Schäferhund;Sonstige Rassen;;;;
Mastiff;Sonstige Rassen;;;;
Mastin Espanol;Sonstige Rassen;;;;
Mastino Napoletano;Sonstige Rassen;;;;
Miniature Australian Sheperd;Sonstige Rassen;;1;;
Miniature Bull Terrier;Sonstige Rassen;1;1;;1
Minischnauzer;Sonstige Rassen;;;;
Mittelasiatischer Schäferhund (Ovtcharka);Sonstige Rassen;;;;
Mops;Sonstige Rassen;;;;1
Neufundländer u. Landseer;Sonstige Rassen;;;;
Old English Bulldog;Sonstige Rassen;1;3;2;7
Parson Russell Terrier und;Sonstige Rassen;1;9;;3
Jack Russell Terrier;Sonstige Rassen;;;;
Pekinese;Sonstige Rassen;;1;;
Podenco;Sonstige Rassen;;;;1
Podhalaner;Sonstige Rassen;;;;
Pointer;Sonstige Rassen;;2;;
